"Quarter","Transaction","Original series at current prises, millions of euro","Original series, reference year 2015, millions of euro"
"1990Q1","B1GMH Gross domestic product at market prices",21610,33876
"1990Q2","B1GMH Gross domestic product at market prices",22885,35511
"1990Q3","B1GMH Gross domestic product at market prices",22547,34754
"1990Q4","B1GMH Gross domestic product at market prices",23917,36439
"1991Q1","B1GMH Gross domestic product at market prices",20815,31977
"1991Q2","B1GMH Gross domestic product at market prices",21921,33526
"1991Q3","B1GMH Gross domestic product at market prices",21578,32787
"1991Q4","B1GMH Gross domestic product at market prices",22585,34015
"1992Q1","B1GMH Gross domestic product at market prices",20296,30842
"1992Q2","B1GMH Gross domestic product at market prices",21301,32265
"1992Q3","B1GMH Gross domestic product at market prices",21047,31741
"1992Q4","B1GMH Gross domestic product at market prices",22138,33098
"1993Q1","B1GMH Gross domestic product at market prices",20254,30092
"1993Q2","B1GMH Gross domestic product at market prices",21380,31667
"1993Q3","B1GMH Gross domestic product at market prices",21354,31737
"1993Q4","B1GMH Gross domestic product at market prices",22720,33603
"1994Q1","B1GMH Gross domestic product at market prices",20683,30535
"1994Q2","B1GMH Gross domestic product at market prices",22281,32666
"1994Q3","B1GMH Gross domestic product at market prices",22837,33157
"1994Q4","B1GMH Gross domestic product at market prices",24948,35779
"1995Q1","B1GMH Gross domestic product at market prices",22885,32135
"1995Q2","B1GMH Gross domestic product at market prices",24872,34853
"1995Q3","B1GMH Gross domestic product at market prices",24598,34363
"1995Q4","B1GMH Gross domestic product at market prices",26194,36358
"1996Q1","B1GMH Gross domestic product at market prices",23992,33534
"1996Q2","B1GMH Gross domestic product at market prices",25345,35493
"1996Q3","B1GMH Gross domestic product at market prices",25246,35415
"1996Q4","B1GMH Gross domestic product at market prices",27500,38317
"1997Q1","B1GMH Gross domestic product at market prices",24931,34314
"1997Q2","B1GMH Gross domestic product at market prices",27345,37573
"1997Q3","B1GMH Gross domestic product at market prices",27763,37996
"1997Q4","B1GMH Gross domestic product at market prices",30768,41919
"1998Q1","B1GMH Gross domestic product at market prices",27840,36826
"1998Q2","B1GMH Gross domestic product at market prices",30001,39821
"1998Q3","B1GMH Gross domestic product at market prices",30147,40014
"1998Q4","B1GMH Gross domestic product at market prices",32486,43425
"1999Q1","B1GMH Gross domestic product at market prices",29712,39200
"1999Q2","B1GMH Gross domestic product at market prices",31639,41738
"1999Q3","B1GMH Gross domestic product at market prices",31539,41398
"1999Q4","B1GMH Gross domestic product at market prices",34026,44761
"2000Q1","B1GMH Gross domestic product at market prices",31773,41545
"2000Q2","B1GMH Gross domestic product at market prices",33838,43932
"2000Q3","B1GMH Gross domestic product at market prices",34039,43939
"2000Q4","B1GMH Gross domestic product at market prices",36792,47328
"2001Q1","B1GMH Gross domestic product at market prices",34491,43294
"2001Q2","B1GMH Gross domestic product at market prices",36359,45461
"2001Q3","B1GMH Gross domestic product at market prices",35917,44979
"2001Q4","B1GMH Gross domestic product at market prices",37861,47622
"2002Q1","B1GMH Gross domestic product at market prices",34919,43421
"2002Q2","B1GMH Gross domestic product at market prices",37580,46558
"2002Q3","B1GMH Gross domestic product at market prices",36695,45614
"2002Q4","B1GMH Gross domestic product at market prices",39292,48859
"2003Q1","B1GMH Gross domestic product at market prices",35557,43935
"2003Q2","B1GMH Gross domestic product at market prices",38018,47214
"2003Q3","B1GMH Gross domestic product at market prices",37786,46981
"2003Q4","B1GMH Gross domestic product at market prices",40388,50018
"2004Q1","B1GMH Gross domestic product at market prices",37222,45949
"2004Q2","B1GMH Gross domestic product at market prices",39681,48904
"2004Q3","B1GMH Gross domestic product at market prices",39276,48360
"2004Q4","B1GMH Gross domestic product at market prices",42579,52446
"2005Q1","B1GMH Gross domestic product at market prices",38821,47835
"2005Q2","B1GMH Gross domestic product at market prices",41335,50494
"2005Q3","B1GMH Gross domestic product at market prices",40801,49745
"2005Q4","B1GMH Gross domestic product at market prices",43730,53024
"2006Q1","B1GMH Gross domestic product at market prices",40791,49976
"2006Q2","B1GMH Gross domestic product at market prices",43085,52363
"2006Q3","B1GMH Gross domestic product at market prices",42828,51613
"2006Q4","B1GMH Gross domestic product at market prices",46193,55245
"2007Q1","B1GMH Gross domestic product at market prices",43772,52095
"2007Q2","B1GMH Gross domestic product at market prices",46852,55349
"2007Q3","B1GMH Gross domestic product at market prices",46220,54318
"2007Q4","B1GMH Gross domestic product at market prices",50228,58521
"2008Q1","B1GMH Gross domestic product at market prices",46289,53695
"2008Q2","B1GMH Gross domestic product at market prices",49424,56510
"2008Q3","B1GMH Gross domestic product at market prices",48386,54871
"2008Q4","B1GMH Gross domestic product at market prices",50166,56934
"2009Q1","B1GMH Gross domestic product at market prices",43733,48938
"2009Q2","B1GMH Gross domestic product at market prices",45599,51254
"2009Q3","B1GMH Gross domestic product at market prices",44911,50635
"2009Q4","B1GMH Gross domestic product at market prices",47504,53257
"2010Q1","B1GMH Gross domestic product at market prices",43722,49257
"2010Q2","B1GMH Gross domestic product at market prices",47415,53268
"2010Q3","B1GMH Gross domestic product at market prices",46292,51814
"2010Q4","B1GMH Gross domestic product at market prices",50714,56247
"2011Q1","B1GMH Gross domestic product at market prices",47117,51934
"2011Q2","B1GMH Gross domestic product at market prices",49810,54338
"2011Q3","B1GMH Gross domestic product at market prices",49048,53297
"2011Q4","B1GMH Gross domestic product at market prices",52023,56381
"2012Q1","B1GMH Gross domestic product at market prices",48804,52088
"2012Q2","B1GMH Gross domestic product at market prices",50535,53538
"2012Q3","B1GMH Gross domestic product at market prices",49487,52252
"2012Q4","B1GMH Gross domestic product at market prices",52211,55055
"2013Q1","B1GMH Gross domestic product at market prices",48513,50397
"2013Q2","B1GMH Gross domestic product at market prices",51660,53337
"2013Q3","B1GMH Gross domestic product at market prices",50797,52396
"2013Q4","B1GMH Gross domestic product at market prices",53351,54882
"2014Q1","B1GMH Gross domestic product at market prices",49325,50286
"2014Q2","B1GMH Gross domestic product at market prices",52107,52974
"2014Q3","B1GMH Gross domestic product at market prices",51437,52206
"2014Q4","B1GMH Gross domestic product at market prices",54028,54776
"2015Q1","B1GMH Gross domestic product at market prices",49981,50061
"2015Q2","B1GMH Gross domestic product at market prices",53433,53443
"2015Q3","B1GMH Gross domestic product at market prices",52413,52356
"2015Q4","B1GMH Gross domestic product at market prices",55558,55525
"2016Q1","B1GMH Gross domestic product at market prices",51546,51567
"2016Q2","B1GMH Gross domestic product at market prices",54892,54822
"2016Q3","B1GMH Gross domestic product at market prices",54097,53976
"2016Q4","B1GMH Gross domestic product at market prices",56983,56963
"2017Q1","B1GMH Gross domestic product at market prices",53770,53369
"2017Q2","B1GMH Gross domestic product at market prices",56959,56562
"2017Q3","B1GMH Gross domestic product at market prices",56007,55559
"2017Q4","B1GMH Gross domestic product at market prices",59565,58776
"2018Q1","B1GMH Gross domestic product at market prices",55760,54643
"2018Q2","B1GMH Gross domestic product at market prices",58931,57414
"2018Q3","B1GMH Gross domestic product at market prices",57742,55912
"2018Q4","B1GMH Gross domestic product at market prices",61029,58853
"2019Q1","B1GMH Gross domestic product at market prices",57003,54837
"2019Q2","B1GMH Gross domestic product at market prices",60552,57940
"2019Q3","B1GMH Gross domestic product at market prices",59598,57000
"2019Q4","B1GMH Gross domestic product at market prices",62705,59822
"2020Q1","B1GMH Gross domestic product at market prices",58434,54935
"2020Q2","B1GMH Gross domestic product at market prices",57734,53902
"2020Q3","B1GMH Gross domestic product at market prices",59077,55696
"2020Q4","B1GMH Gross domestic product at market prices",62793,59659
"2021Q1","B1GMH Gross domestic product at market prices",57675,53924
"2021Q2","B1GMH Gross domestic product at market prices",62745,57899
"2021Q3","B1GMH Gross domestic product at market prices",62546,57326
"2021Q4","B1GMH Gross domestic product at market prices",67698,61406
"2022Q1","B1GMH Gross domestic product at market prices",62685,55791
"2022Q2","B1GMH Gross domestic product at market prices",67220,59269
"2022Q3","B1GMH Gross domestic product at market prices",66758,57883
"2022Q4","B1GMH Gross domestic product at market prices",71024,60691
"2023Q1","B1GMH Gross domestic product at market prices",65985,55897
"2023Q2","B1GMH Gross domestic product at market prices",69724,58687
"2023Q3","B1GMH Gross domestic product at market prices",68081,56647
"2023Q4","B1GMH Gross domestic product at market prices",71090,59694
"2024Q1","B1GMH Gross domestic product at market prices",66251,54978
