"Quarter","Transaction","Original series at current prises, millions of euro"
"1990Q1","B1GMH Gross domestic product at market prices",21610
"1990Q2","B1GMH Gross domestic product at market prices",22885
"1990Q3","B1GMH Gross domestic product at market prices",22547
"1990Q4","B1GMH Gross domestic product at market prices",23917
"1991Q1","B1GMH Gross domestic product at market prices",20815
"1991Q2","B1GMH Gross domestic product at market prices",21921
"1991Q3","B1GMH Gross domestic product at market prices",21578
"1991Q4","B1GMH Gross domestic product at market prices",22585
"1992Q1","B1GMH Gross domestic product at market prices",20296
"1992Q2","B1GMH Gross domestic product at market prices",21301
"1992Q3","B1GMH Gross domestic product at market prices",21047
"1992Q4","B1GMH Gross domestic product at market prices",22138
"1993Q1","B1GMH Gross domestic product at market prices",20254
"1993Q2","B1GMH Gross domestic product at market prices",21380
"1993Q3","B1GMH Gross domestic product at market prices",21354
"1993Q4","B1GMH Gross domestic product at market prices",22720
"1994Q1","B1GMH Gross domestic product at market prices",20683
"1994Q2","B1GMH Gross domestic product at market prices",22281
"1994Q3","B1GMH Gross domestic product at market prices",22837
"1994Q4","B1GMH Gross domestic product at market prices",24948
"1995Q1","B1GMH Gross domestic product at market prices",22885
"1995Q2","B1GMH Gross domestic product at market prices",24872
"1995Q3","B1GMH Gross domestic product at market prices",24598
"1995Q4","B1GMH Gross domestic product at market prices",26194
"1996Q1","B1GMH Gross domestic product at market prices",23992
"1996Q2","B1GMH Gross domestic product at market prices",25345
"1996Q3","B1GMH Gross domestic product at market prices",25246
"1996Q4","B1GMH Gross domestic product at market prices",27500
"1997Q1","B1GMH Gross domestic product at market prices",24931
"1997Q2","B1GMH Gross domestic product at market prices",27345
"1997Q3","B1GMH Gross domestic product at market prices",27763
"1997Q4","B1GMH Gross domestic product at market prices",30768
"1998Q1","B1GMH Gross domestic product at market prices",27840
"1998Q2","B1GMH Gross domestic product at market prices",30001
"1998Q3","B1GMH Gross domestic product at market prices",30147
"1998Q4","B1GMH Gross domestic product at market prices",32486
"1999Q1","B1GMH Gross domestic product at market prices",29712
"1999Q2","B1GMH Gross domestic product at market prices",31639
"1999Q3","B1GMH Gross domestic product at market prices",31539
"1999Q4","B1GMH Gross domestic product at market prices",34026
"2000Q1","B1GMH Gross domestic product at market prices",31773
"2000Q2","B1GMH Gross domestic product at market prices",33838
"2000Q3","B1GMH Gross domestic product at market prices",34039
"2000Q4","B1GMH Gross domestic product at market prices",36792
"2001Q1","B1GMH Gross domestic product at market prices",34491
"2001Q2","B1GMH Gross domestic product at market prices",36359
"2001Q3","B1GMH Gross domestic product at market prices",35917
"2001Q4","B1GMH Gross domestic product at market prices",37861
"2002Q1","B1GMH Gross domestic product at market prices",34919
"2002Q2","B1GMH Gross domestic product at market prices",37580
"2002Q3","B1GMH Gross domestic product at market prices",36695
"2002Q4","B1GMH Gross domestic product at market prices",39292
"2003Q1","B1GMH Gross domestic product at market prices",35557
"2003Q2","B1GMH Gross domestic product at market prices",38018
"2003Q3","B1GMH Gross domestic product at market prices",37786
"2003Q4","B1GMH Gross domestic product at market prices",40388
"2004Q1","B1GMH Gross domestic product at market prices",37222
"2004Q2","B1GMH Gross domestic product at market prices",39681
"2004Q3","B1GMH Gross domestic product at market prices",39276
"2004Q4","B1GMH Gross domestic product at market prices",42579
"2005Q1","B1GMH Gross domestic product at market prices",38821
"2005Q2","B1GMH Gross domestic product at market prices",41335
"2005Q3","B1GMH Gross domestic product at market prices",40801
"2005Q4","B1GMH Gross domestic product at market prices",43730
"2006Q1","B1GMH Gross domestic product at market prices",40791
"2006Q2","B1GMH Gross domestic product at market prices",43085
"2006Q3","B1GMH Gross domestic product at market prices",42828
"2006Q4","B1GMH Gross domestic product at market prices",46193
"2007Q1","B1GMH Gross domestic product at market prices",43772
"2007Q2","B1GMH Gross domestic product at market prices",46852
"2007Q3","B1GMH Gross domestic product at market prices",46220
"2007Q4","B1GMH Gross domestic product at market prices",50228
"2008Q1","B1GMH Gross domestic product at market prices",46289
"2008Q2","B1GMH Gross domestic product at market prices",49424
"2008Q3","B1GMH Gross domestic product at market prices",48386
"2008Q4","B1GMH Gross domestic product at market prices",50166
"2009Q1","B1GMH Gross domestic product at market prices",43733
"2009Q2","B1GMH Gross domestic product at market prices",45599
"2009Q3","B1GMH Gross domestic product at market prices",44911
"2009Q4","B1GMH Gross domestic product at market prices",47504
"2010Q1","B1GMH Gross domestic product at market prices",43722
"2010Q2","B1GMH Gross domestic product at market prices",47415
"2010Q3","B1GMH Gross domestic product at market prices",46292
"2010Q4","B1GMH Gross domestic product at market prices",50714
"2011Q1","B1GMH Gross domestic product at market prices",47117
"2011Q2","B1GMH Gross domestic product at market prices",49810
"2011Q3","B1GMH Gross domestic product at market prices",49048
"2011Q4","B1GMH Gross domestic product at market prices",52023
"2012Q1","B1GMH Gross domestic product at market prices",48804
"2012Q2","B1GMH Gross domestic product at market prices",50535
"2012Q3","B1GMH Gross domestic product at market prices",49487
"2012Q4","B1GMH Gross domestic product at market prices",52211
"2013Q1","B1GMH Gross domestic product at market prices",48513
"2013Q2","B1GMH Gross domestic product at market prices",51660
"2013Q3","B1GMH Gross domestic product at market prices",50797
"2013Q4","B1GMH Gross domestic product at market prices",53351
"2014Q1","B1GMH Gross domestic product at market prices",49325
"2014Q2","B1GMH Gross domestic product at market prices",52107
"2014Q3","B1GMH Gross domestic product at market prices",51437
"2014Q4","B1GMH Gross domestic product at market prices",54028
"2015Q1","B1GMH Gross domestic product at market prices",49981
"2015Q2","B1GMH Gross domestic product at market prices",53433
"2015Q3","B1GMH Gross domestic product at market prices",52413
"2015Q4","B1GMH Gross domestic product at market prices",55558
"2016Q1","B1GMH Gross domestic product at market prices",51546
"2016Q2","B1GMH Gross domestic product at market prices",54892
"2016Q3","B1GMH Gross domestic product at market prices",54097
"2016Q4","B1GMH Gross domestic product at market prices",56983
"2017Q1","B1GMH Gross domestic product at market prices",53770
"2017Q2","B1GMH Gross domestic product at market prices",56959
"2017Q3","B1GMH Gross domestic product at market prices",56007
"2017Q4","B1GMH Gross domestic product at market prices",59565
"2018Q1","B1GMH Gross domestic product at market prices",55760
"2018Q2","B1GMH Gross domestic product at market prices",58931
"2018Q3","B1GMH Gross domestic product at market prices",57742
"2018Q4","B1GMH Gross domestic product at market prices",61029
"2019Q1","B1GMH Gross domestic product at market prices",57003
"2019Q2","B1GMH Gross domestic product at market prices",60552
"2019Q3","B1GMH Gross domestic product at market prices",59598
"2019Q4","B1GMH Gross domestic product at market prices",62705
"2020Q1","B1GMH Gross domestic product at market prices",58434
"2020Q2","B1GMH Gross domestic product at market prices",57734
"2020Q3","B1GMH Gross domestic product at market prices",59077
"2020Q4","B1GMH Gross domestic product at market prices",62793
"2021Q1","B1GMH Gross domestic product at market prices",57675
"2021Q2","B1GMH Gross domestic product at market prices",62745
"2021Q3","B1GMH Gross domestic product at market prices",62546
"2021Q4","B1GMH Gross domestic product at market prices",67698
"2022Q1","B1GMH Gross domestic product at market prices",62685
"2022Q2","B1GMH Gross domestic product at market prices",67220
"2022Q3","B1GMH Gross domestic product at market prices",66758
"2022Q4","B1GMH Gross domestic product at market prices",71024
"2023Q1","B1GMH Gross domestic product at market prices",65985
"2023Q2","B1GMH Gross domestic product at market prices",69724
"2023Q3","B1GMH Gross domestic product at market prices",68081
"2023Q4","B1GMH Gross domestic product at market prices",71090
"2024Q1","B1GMH Gross domestic product at market prices",66251
